customer_id,age,monthly_income_ksh,employment_years,credit_score,loan_amount_ksh,loan_term_months,existing_loans,late_payments_last_12m,debt_to_income_ratio,savings_ksh,dependents,employment_type,education_level,housing_status,loan_default
CUST10019,37,,1.7,586.0,108300.0,18,0,0,0.41,22800.0,0,Self-employed,Secondary,Own,1
CUST10020,25,25154.0,10.3,662.0,146300.0,18,1,0,0.39,103100.0,4,Business,Degree,Rent,0
CUST10021,24,88418.0,8.6,664.0,149500.0,36,0,2,0.12,34100.0,3,Salaried,Degree,Rent,1
CUST10022,23,104509.0,12.2,618.0,83100.0,12,3,0,0.3,77800.0,0,Contract,Degree,Rent,0
CUST10023,41,24526.0,17.4,643.0,273000.0,12,1,3,0.25,110800.0,3,Contract,Degree,Family,0
CUST10024,60,84759.0,10.3,630.0,307300.0,24,3,0,0.25,204700.0,0,Salaried,Degree,Rent,1
CUST10025,23,47500.0,21.7,611.0,176700.0,24,0,1,0.6,33600.0,5,Self-employed,Degree,Rent,1
CUST10026,41,47906.0,0.0,657.0,331200.0,6,4,1,0.44,55800.0,5,Salaried,Degree,Rent,1
CUST10027,28,51073.0,0.6,553.0,126600.0,24,0,0,0.41,293700.0,5,Salaried,,Rent,1
CUST10028,62,96855.0,5.3,850.0,211400.0,24,1,2,0.32,96100.0,5,Salaried,Diploma,Family,1
CUST10029,56,43142.0,4.0,674.0,110100.0,24,2,0,0.25,121000.0,4,Salaried,Diploma,Rent,0
CUST10030,49,40475.0,7.7,613.0,133000.0,24,4,0,0.43,566600.0,1,Salaried,Postgraduate,Rent,1
CUST10031,59,,10.0,671.0,375600.0,12,2,1,0.23,57600.0,0,Salaried,Postgraduate,Own,1
CUST10032,54,46157.0,9.3,631.0,61600.0,12,2,3,0.19,143800.0,4,Business,Diploma,Own,1
CUST10033,42,65629.0,17.2,714.0,59700.0,6,1,0,0.52,145400.0,1,SELF-EMPLOYED,Degree,Own,0
CUST10034,51,75563.0,0.0,732.0,128100.0,6,0,1,0.28,128400.0,5,Salaried,Postgraduate,Own,0
CUST10035,48,49868.0,9.0,774.0,206500.0,36,0,2,0.27,36600.0,1,Salaried,Degree,Own,1
CUST10036,55,77632.0,11.1,661.0,108300.0,24,3,3,0.32,217900.0,4, salaried ,Degree,Own,1
CUST10037,54,103062.0,5.0,662.0,368000.0,12,1,0,0.56,137900.0,5,Salaried,Postgraduate,Rent,0
CUST10038,33,95849.0,0.0,669.0,168800.0,36,2,1,0.42,91600.0,0,Salaried,Diploma,Rent,1
CUST10039,61,97392.0,,598.0,312500.0,36,0,1,0.33,61000.0,4,Self-employed,Secondary,Rent,1
CUST10040,24,56819.0,11.8,754.0,381800.0,24,0,2,0.31,241800.0,1,Self-employed,Degree,Family,0
CUST10041,63,80055.0,10.4,609.0,66100.0,24,1,0,0.4,85900.0,2,Salaried,Secondary,Rent,0
CUST10042,26,69151.0,8.7,614.0,204700.0,24,4,0,0.39,72400.0,1,Salaried,Diploma,Family,1
CUST10043,21,63657.0,4.0,675.0,200600.0,24,0,0,0.36,112100.0,3,Salaried,Degree,Own,1
CUST10044,32,125539.0,0.0,631.0,108400.0,18,3,0,0.19,182000.0,0,Contract,Diploma,Family,1
CUST10045,55,14977.0,10.4,660.0,90100.0,24,0,0,0.57,108600.0,4,Self-employed,Secondary,Own,1
CUST10046,31,57685.0,0.2,570.0,390100.0,6,1,0,0.28,75800.0,3,Business,Degree,Rent,1
CUST10047,43,60812.0,1.1,709.0,220100.0,36,1,1,0.34,75900.0,2,Business,Degree,Rent,1
CUST10048,34,49966.0,15.7,746.0,124100.0,24,1,1,0.31,163100.0,1,Salaried,Degree,Rent,1
CUST10049,39,35591.0,6.9,647.0,225600.0,36,3,1,0.5,25500.0,3,Contract,Secondary,Rent,1
CUST10050,57,53350.0,10.7,717.0,286600.0,24,2,1,0.47,65000.0,5,Business,Degree,Family,1
CUST10051,36,56457.0,8.0,654.0,275400.0,24,1,1,0.23,133300.0,1,Contract,Degree,Own,0
CUST10052,64,37963.0,8.9,650.0,198800.0,12,0,0,0.3,35500.0,4,Salaried,Degree,Own,1
CUST10053,48,31301.0,10.6,575.0,321500.0,18,1,2,0.3,32300.0,3,Business,Degree,Own,1
CUST10054,65,30620.0,1.8,665.0,112400.0,36,0,2,0.42,238700.0,5,Salaried,Diploma,Own,1
CUST10055,51,57380.0,3.0,658.0,190800.0,24,0,2,0.44,67100.0,4,Salaried,Degree,Rent,1
CUST10056,27,45650.0,2.1,643.0,147800.0,24,1,0,0.29,185000.0,1,Self-employed,Diploma,Family,1
CUST10057,47,95331.0,6.9,677.0,282500.0,48,0,0,0.53,23000.0,4,Self-employed,Postgraduate,Rent,0
CUST10058,37,47572.0,0.0,642.0,110100.0,24,0,4,0.39,429300.0,4,Salaried,Postgraduate,Own,1
CUST10059,27,51844.0,11.3,619.0,239600.0,12,0,0,0.38,26800.0,4,Contract,Diploma,Rent,1
CUST10060,35,59261.0,6.3,654.0,217300.0,18,1,0,0.23,60300.0,4,Salaried,Diploma,Own,0
CUST10061,60,75334.0,0.0,664.0,187800.0,18,1,0,0.46,278700.0,0,Contract,Degree,Family,0
CUST10062,32,43592.0,12.8,712.0,270200.0,12,2,2,0.51,163800.0,4,Contract,Degree,Rent,1
CUST10063,28,89016.0,0.0,628.0,116900.0,48,1,0,0.28,167700.0,2,Salaried,Postgraduate,Rent,0
CUST10064,22,,12.9,688.0,110800.0,24,0,0,0.54,70900.0,2,Business,Degree,Own,1
CUST10065,64,33174.0,6.1,631.0,205300.0,48,1,0,0.26,56300.0,1,Salaried,Degree,Rent,0
CUST10066,58,33093.0,6.4,672.0,113800.0,24,1,1,0.37,53800.0,4,Business,Degree,Rent,0
CUST10067,46,49472.0,5.0,610.0,91200.0,18,1,1,0.39,298800.0,4,Contract,Degree,Rent,1
CUST10068,41,106323.0,10.2,625.0,580300.0,6,2,1,0.34,152500.0,3, salaried ,Secondary,Family,1
CUST10069,33,77689.0,10.5,759.0,95600.0,18,0,0,0.43,31400.0,5,Business,Degree,Rent,0
CUST10070,39,123710.0,5.4,672.0,136300.0,12,0,0,0.22,39600.0,2,Salaried,Degree,Rent,0
CUST10071,38,44338.0,6.6,669.0,112300.0,24,0,0,0.38,112500.0,1,Salaried,Degree,Rent,0
CUST10072,22,54415.0,18.4,688.0,160400.0,24,0,0,0.22,65400.0,5,Salaried,Secondary,Rent,0
CUST10073,65,64817.0,9.2,704.0,79200.0,24,0,1,0.24,176100.0,3,Salaried,Secondary,Rent,0
CUST10074,62,59555.0,4.4,600.0,129300.0,12,1,0,0.35,32200.0,0,Salaried,Degree,Family,1
CUST10075,48,33152.0,12.9,700.0,352500.0,24,2,1,0.32,55100.0,2,Business,Degree,Own,0
CUST10076,43,43442.0,3.1,686.0,145800.0,24,1,4,0.26,89400.0,2,Self-employed,Degree,Rent,1
CUST10077,24,33065.0,16.1,774.0,92300.0,12,1,1,0.59,58900.0,2,Self-employed,Degree,Own,0
CUST10078,24,34014.0,13.5,706.0,142900.0,12,2,3,0.24,63100.0,5,Business,Degree,Own,1
CUST10079,32,48645.0,4.3,586.0,93300.0,24,0,0,0.26,142100.0,1,Self-employed,Diploma,Own,1
CUST10080,42,116180.0,5.9,564.0,175000.0,24,1,2,0.4,75200.0,2,Salaried,Postgraduate,Family,1
CUST10081,46,42776.0,14.5,760.0,193000.0,12,1,0,0.44,67800.0,1,Salaried,Secondary,rent ,1
CUST10082,60,17818.0,9.9,618.0,265100.0,24,1,1,0.26,65000.0,1,Salaried,Degree,Rent,1
CUST10083,62,56074.0,16.4,608.0,162600.0,12,0,0,0.35,358200.0,4,Self-employed,Diploma,Own,1
CUST10084,55,15415.0,14.0,648.0,117800.0,36,0,0,0.16,93200.0,4,Self-employed,Postgraduate,Rent,0
CUST10085,24,45455.0,6.2,642.0,296400.0,18,1,0,0.18,53100.0,3,Self-employed,Diploma,Rent,1
CUST10086,32,23984.0,7.3,736.0,153400.0,36,2,0,0.52,148600.0,1,Contract,Diploma,Family,0
CUST10087,24,74505.0,9.7,604.0,203900.0,12,1,2,0.33,300900.0,1,Business,Diploma,Family,1
CUST10088,51,19349.0,0.4,621.0,229200.0,24,1,0,0.43,85500.0,1,Salaried,Diploma,Own,1
CUST10089,27,32737.0,4.9,688.0,195600.0,24,1,1,0.29,95500.0,4,Contract,Diploma,Rent,1
CUST10090,30,80057.0,3.7,660.0,287600.0,24,2,1,0.29,69800.0,2,Salaried,Degree,Rent,1
CUST10091,44,190489.0,13.0,683.0,67400.0,24,2,0,0.35,104900.0,0,Salaried,Diploma,Rent,0
CUST10092,35,66510.0,18.2,,272100.0,48,0,1,0.38,89000.0,3,Salaried,Degree,Own,1
CUST10093,59,60421.0,10.0,632.0,388300.0,24,0,1,0.3,146000.0,1,Self-employed,Diploma,,1
CUST10094,40,50884.0,4.4,709.0,59600.0,18,1,2,0.21,179500.0,2,Self-employed,Degree,Family,1
CUST10095,27,47323.0,7.7,628.0,428000.0,24,0,0,0.42,41200.0,2,Salaried,Secondary,Rent,0
CUST10096,33,31379.0,1.7,675.0,124400.0,24,0,0,0.43,24300.0,4,Self-employed,Diploma,Own,1
CUST10097,48,47571.0,7.3,570.0,337100.0,12,0,2,0.27,56100.0,5,Business,Diploma,Family,1
CUST10098,59,92808.0,4.7,655.0,98800.0,12,1,0,0.25,34700.0,0,Contract,Diploma,Rent,0
CUST10099,38,49056.0,8.4,695.0,230300.0,24,2,2,0.46,84000.0,0,Salaried,Secondary,Rent,1
CUST10100,31,59575.0,5.4,649.0,60000.0,18,0,1,0.16,70900.0,0,Business,Degree,Rent,1
CUST10101,56,94942.0,4.8,663.0,207600.0,18,0,0,0.47,36300.0,4,Salaried,Degree,Own,1
CUST10102,56,32014.0,5.5,650.0,214800.0,24,1,1,0.46,177300.0,2,Salaried,Diploma,Rent,0
CUST10103,22,37886.0,7.4,687.0,299100.0,36,0,1,0.49,147400.0,5,Salaried,Degree,Rent,1
CUST10104,37,44947.0,4.8,567.0,105700.0,24,0,1,0.51,97200.0,2,Salaried,Diploma,Rent,1
CUST10105,26,57974.0,10.7,710.0,112900.0,12,1,0,0.35,29000.0,0,Business,Diploma,Own,0
CUST10106,61,40728.0,8.5,697.0,149500.0,24,0,1,0.3,82400.0,4,Business,Degree,Rent,0
CUST10107,43,61656.0,6.2,583.0,186600.0,36,1,3,0.3,89600.0,1,Salaried,Secondary,Family,1
CUST10108,36,43961.0,3.9,596.0,127700.0,24,0,1,0.35,37600.0,4,Contract,Postgraduate,Own,1
CUST10109,61,70991.0,7.0,667.0,82800.0,24,2,0,0.42,308800.0,3,Salaried,Degree,Own,0
CUST10110,46,38486.0,0.7,592.0,123700.0,36,0,1,0.12,123900.0,1,Business,Diploma,Own,0
CUST10111,21,89571.0,4.5,653.0,166100.0,12,1,1,0.54,87100.0,5,Self-employed,Postgraduate,Own,1
CUST10112,56,36593.0,0.0,655.0,72000.0,24,1,1,0.39,77000.0,1,Salaried,Secondary,,1
CUST10113,50,48374.0,14.2,688.0,167800.0,24,2,2,0.45,101900.0,1,Contract,Degree,Family,1
CUST10114,22,53984.0,2.0,499.0,223700.0,12,1,0,0.52,24200.0,4,Self-employed,Secondary,Rent,0
CUST10115,40,26024.0,4.5,679.0,52000.0,24,0,0,0.28,44800.0,4,Self-employed,Secondary,Rent,0
CUST10116,25,58834.0,14.9,686.0,179800.0,12,1,0,0.26,77300.0,4,Salaried,Diploma,Family,0
CUST10117,51,59972.0,10.8,667.0,53100.0,24,1,0,0.28,55800.0,4,Salaried,Degree,Rent,0
CUST10118,28,165637.0,3.7,732.0,275000.0,6,1,1,0.22,39900.0,4,Business,Postgraduate,Rent,0
CUST10119,50,58813.0,7.7,713.0,91900.0,24,1,2,0.34,92500.0,1,Salaried,Secondary,Rent,1
CUST10120,59,57010.0,12.9,666.0,110300.0,36,0,1,0.39,92400.0,1,Self-employed,Diploma,Rent,0
CUST10121,22,206140.0,11.0,618.0,258100.0,36,0,2,0.28,67300.0,0,Business,Diploma,Rent,1
CUST10122,33,49766.0,3.5,675.0,102300.0,36,1,0,0.41,126200.0,5,Salaried,Secondary,Rent,1
CUST10123,24,68394.0,10.3,604.0,204300.0,6,1,0,0.22,134800.0,1,Business,Diploma,Own,0
CUST10124,65,42494.0,5.9,616.0,107700.0,12,0,1,0.55,82400.0,0,Business,Degree,Family,1
CUST10125,28,37301.0,7.5,583.0,212300.0,12,0,1,0.35,367800.0,1,Self-employed,Degree,Rent,1
CUST10126,59,47467.0,6.7,630.0,134800.0,24,3,0,0.31,87200.0,2,Self-employed,Degree,Own,1
CUST10127,45,65327.0,14.7,671.0,167400.0,36,1,0,0.54,166900.0,4,Salaried,Degree,Rent,0
CUST10128,27,71634.0,4.8,616.0,90000.0,12,1,1,0.38,471300.0,1,Contract,Secondary,Own,1
CUST10129,34,52618.0,9.7,693.0,106300.0,36,1,3,0.18,95200.0,1,Salaried,Degree,Rent,1
CUST10130,49,59608.0,0.8,706.0,199300.0,18,0,0,0.44,94700.0,4,Salaried,Diploma,Own,1
CUST10131,65,123444.0,0.0,662.0,208300.0,12,1,0,0.44,105300.0,0,Business,Degree,Rent,1
CUST10132,41,34836.0,15.7,765.0,185400.0,18,0,4,0.21,65400.0,0,Business,Degree,Rent,1
CUST10133,57,69611.0,10.9,692.0,104700.0,12,0,1,0.5,28200.0,4,Self-employed,Degree,Rent,0
CUST10134,17,94365.0,9.9,692.0,297500.0,12,4,2,0.25,119100.0,0,Contract,Degree,Own,1
CUST10135,61,36422.0,11.1,599.0,190000.0,48,3,0,0.56,68500.0,3,Salaried,Degree,Rent,1
CUST10136,45,22744.0,10.0,663.0,277800.0,12,0,0,0.22,133000.0,1,Business,Degree,Own,0
CUST10137,34,51350.0,3.8,679.0,183100.0,36,0,3,0.14,70000.0,2,Salaried,Secondary,,1
CUST10138,29,88706.0,9.3,703.0,113500.0,6,2,1,0.36,326900.0,0,Salaried,Degree,Rent,1
CUST10139,35,57499.0,3.7,660.0,238100.0,6,1,0,0.3,194000.0,2,Salaried,Degree,Own,1
CUST10140,27,43440.0,9.9,610.0,213300.0,24,1,1,0.45,97300.0,2,Salaried,Degree,Rent,1
CUST10141,22,47691.0,1.0,663.0,103700.0,24,2,2,0.28,42600.0,2,Self-employed,Degree,Rent,1
CUST10142,51,39054.0,8.8,577.0,136000.0,24,2,2,0.29,75300.0,2,Salaried,Diploma,Rent,1
CUST10143,27,137141.0,0.0,690.0,402200.0,36,3,0,0.29,128700.0,0,Contract,Diploma,Rent,1
CUST10144,61,86935.0,12.8,578.0,65600.0,12,2,1,0.24,79500.0,4,Salaried,Secondary,Rent,0
CUST10145,31,46334.0,8.7,587.0,387200.0,12,1,1,0.52,81000.0,5,Salaried,Diploma,Own,1
CUST10146,33,49385.0,5.0,711.0,201300.0,24,1,1,0.3,62500.0,2,Business,Secondary,Own,0
CUST10147,33,146942.0,10.7,625.0,61800.0,12,2,0,0.51,190800.0,0,Self-employed,Diploma,Rent,1
CUST10148,46,70094.0,11.8,569.0,140200.0,24,1,1,0.33,57200.0,0,Self-employed,Secondary,Own,1
CUST10149,63,97478.0,10.9,658.0,95200.0,24,2,0,0.27,150500.0,1,Business,Diploma,Own,1
CUST10150,28,34547.0,3.1,668.0,115200.0,24,0,1,0.4,71100.0,0,Salaried,Diploma,Rent,0
CUST10151,34,77452.0,7.2,651.0,97900.0,36,0,0,0.7,48600.0,5,Salaried,Degree,Family,0
CUST10152,65,52655.0,5.0,659.0,411800.0,36,1,0,0.26,22300.0,1,Salaried,Degree,Own,0
CUST10153,22,73831.0,11.5,575.0,93100.0,12,0,0,0.51,38100.0,4,Business,Degree,Rent,1
CUST10154,62,41604.0,4.4,630.0,220700.0,12,0,2,0.4,46400.0,1,Business,Degree,Own,1
CUST10155,35,107597.0,6.6,767.0,246900.0,12,2,0,0.38,49100.0,1,Salaried,Diploma,Rent,1
CUST10156,44,42568.0,15.0,681.0,184800.0,48,1,1,0.29,86600.0,3,Salaried,Diploma,Own,1
CUST10157,54,55424.0,3.1,589.0,89900.0,12,1,1,0.47,24200.0,1,Contract,Secondary,Family,1
CUST10158,24,20268.0,6.7,653.0,154600.0,12,0,1,0.32,93700.0,2,Salaried,Diploma,Family,1
CUST10159,38,66184.0,10.9,676.0,233900.0,24,0,0,0.51,18900.0,2,Contract,Secondary,Family,0
CUST10160,45,82706.0,2.0,620.0,119300.0,36,0,0,0.37,185800.0,3,Self-employed,Degree,Family,1
CUST10161,44,48453.0,18.6,636.0,380200.0,12,2,1,0.31,31900.0,1,Self-employed,Diploma,Rent,0
CUST10162,26,66683.0,0.8,640.0,122500.0,12,0,0,0.36,127900.0,2, salaried ,Secondary,Rent,0
CUST10163,54,113979.0,5.1,722.0,276200.0,36,1,2,0.35,22100.0,5,Salaried,Diploma,Rent,0
CUST10164,58,68652.0,8.7,683.0,288500.0,24,1,0,0.52,106300.0,0,Self-employed,Diploma,Rent,0
CUST10165,23,56010.0,12.2,684.0,77200.0,12,1,0,0.22,30400.0,3,Contract,Postgraduate,Rent,1
CUST10166,39,67506.0,4.8,579.0,239600.0,12,0,2,0.25,56900.0,3,Self-employed,Postgraduate,Family,0
CUST10167,56,57766.0,0.7,655.0,155100.0,24,1,0,0.31,57500.0,3,Salaried,Diploma,Family,1
CUST10168,39,62557.0,7.3,573.0,139700.0,24,1,1,0.48,111900.0,3,Self-employed,Degree,Family,1
CUST10169,48,77310.0,15.4,652.0,365000.0,24,0,0,0.35,102000.0,5,Salaried,Degree,Family,0
CUST10170,30,38538.0,0.0,606.0,182200.0,24,0,0,0.28,37000.0,3,Salaried,Degree,Rent,1
CUST10171,38,64263.0,8.3,,113300.0,12,0,3,0.16,27500.0,3,Salaried,Secondary,Family,1
CUST10172,24,42603.0,15.6,612.0,114300.0,36,1,1,0.59,190200.0,2,Self-employed,Degree,Family,1
CUST10173,32,59943.0,2.9,803.0,62100.0,6,2,0,0.36,34900.0,4,Salaried,Degree,Own,0
CUST10174,47,80741.0,8.6,380.0,129400.0,12,1,1,0.35,252900.0,4,Salaried,Degree,Rent,0
CUST10175,49,28899.0,2.0,592.0,280800.0,36,2,2,0.26,78100.0,1,Salaried,Degree,Family,1
CUST10176,32,75805.0,9.3,710.0,252100.0,12,2,0,0.27,65500.0,0,Salaried,Degree,Own,1
CUST10177,31,37004.0,6.8,624.0,138600.0,24,0,0,0.39,108200.0,1,Contract,Degree,Rent,1
CUST10178,24,55446.0,0.0,637.0,177100.0,12,1,0,0.52,144700.0,4,Salaried,Degree,Family,1
CUST10179,44,44316.0,12.8,589.0,187400.0,24,0,1,0.42,51600.0,5,SELF-EMPLOYED,Diploma,Own,0
CUST10180,46,60681.0,10.7,578.0,239400.0,36,1,1,0.35,55200.0,5,Salaried,Diploma,Own,1
CUST10181,48,63438.0,9.7,504.0,144200.0,36,1,0,0.43,30300.0,2,Business,Secondary,Own,1
CUST10182,24,52156.0,15.5,638.0,77300.0,36,0,3,0.53,51500.0,5,Salaried,Secondary,Own,1
CUST10183,56,60883.0,12.8,626.0,198900.0,24,0,1,0.58,72400.0,0,Salaried,Diploma,Rent,1
CUST10184,35,44213.0,7.5,751.0,145800.0,48,1,2,0.29,113000.0,0,Salaried,Secondary,Own,0
CUST10185,42,41919.0,8.8,656.0,247600.0,12,2,2,0.42,82600.0,4,Salaried,Postgraduate,Rent,1
CUST10186,44,45864.0,6.0,718.0,158400.0,24,1,0,0.35,72000.0,3,Salaried,Degree,Rent,0
CUST10187,44,27642.0,1.8,742.0,222400.0,36,1,1,0.33,102100.0,0,Business,Postgraduate,Family,1
CUST10188,57,79323.0,8.3,691.0,136600.0,12,1,3,0.33,100400.0,5,Salaried,Secondary,Own,1
CUST10189,25,36240.0,3.4,676.0,183500.0,12,3,1,0.25,79300.0,4,Business,Degree,Family,0
CUST10190,26,56454.0,10.5,661.0,172800.0,36,1,2,0.36,147300.0,2,Salaried,Degree,Own,1
CUST10191,30,62628.0,4.3,655.0,111100.0,36,0,0,0.22,104400.0,4,Salaried,Degree,Rent,1
CUST10192,23,42621.0,5.1,648.0,90900.0,24,1,0,0.43,26600.0,0,Salaried,Degree,rent ,0
CUST10193,58,84291.0,8.7,560.0,196200.0,6,0,1,0.36,140300.0,4,Business,Diploma,Family,1
CUST10194,54,80802.0,19.5,697.0,177900.0,24,1,0,0.42,170800.0,0,Contract,Postgraduate,Family,0
CUST10195,26,57568.0,11.6,653.0,178800.0,24,0,1,0.4,246700.0,3,Contract,Secondary,Own,0
CUST10196,30,36325.0,0.6,588.0,203300.0,36,0,3,0.26,61900.0,1,Contract,Degree,Rent,1
CUST10197,36,71508.0,0.0,690.0,72300.0,36,2,1,0.33,136400.0,3,Salaried,Secondary,Rent,1
CUST10198,49,76060.0,3.9,708.0,303200.0,24,0,1,0.44,90600.0,5,Salaried,Diploma,Own,1
CUST10199,23,35177.0,11.8,560.0,741200.0,24,1,2,0.37,90000.0,4,Self-employed,Diploma,Rent,1
CUST10200,31,65684.0,3.5,592.0,59500.0,18,1,1,0.22,110600.0,5,Salaried,Diploma,Family,1
CUST10201,57,118599.0,7.4,690.0,204200.0,24,1,2,0.35,63300.0,1,Business,Degree,Family,1
CUST10202,24,42801.0,8.8,692.0,386700.0,18,0,1,0.55,45200.0,4,Salaried,Postgraduate,Own,0
CUST10203,24,49901.0,13.9,,124900.0,24,2,0,0.41,34100.0,5,Salaried,Postgraduate,Family,1
CUST10204,44,57038.0,12.2,650.0,93600.0,6,0,1,0.14,76300.0,0,Salaried,Degree,Own,1
CUST10205,48,124453.0,0.0,614.0,154100.0,12,2,0,0.33,192700.0,5,Salaried,Diploma,Rent,1
CUST10206,55,79230.0,5.0,698.0,137800.0,12,2,0,0.29,54500.0,3,Business,Diploma,Family,1
CUST10207,58,41783.0,,757.0,178200.0,24,1,0,0.49,81800.0,1,Salaried,Diploma,Own,0
CUST10208,44,75659.0,0.0,658.0,302100.0,24,1,1,0.38,62400.0,1,Salaried,Postgraduate,Family,1
CUST10209,42,,4.0,589.0,208900.0,12,0,2,0.33,89200.0,0,Salaried,Postgraduate,Own,1
CUST10210,46,27510.0,17.8,712.0,101800.0,24,1,2,0.27,58800.0,5,Salaried,Diploma,Rent,1
CUST10211,38,39016.0,9.4,516.0,202500.0,24,0,1,0.41,142500.0,1,Salaried,Degree,,1
CUST10212,23,54907.0,0.0,682.0,99600.0,18,1,0,0.27,23700.0,4, salaried ,Diploma,Own,1
CUST10213,31,63913.0,3.1,772.0,196600.0,24,0,2,0.3,58700.0,4,Salaried,Degree,Rent,1
CUST10214,29,20166.0,9.9,569.0,356900.0,18,1,2,0.36,347100.0,2,Salaried,Postgraduate,Own,1
CUST10215,53,77367.0,6.6,782.0,222100.0,12,2,2,0.34,127100.0,1,Salaried,Degree,Rent,0
CUST10216,46,129684.0,7.0,669.0,257000.0,36,2,1,0.39,202000.0,3,Business,Diploma,Own,1
CUST10217,56,82591.0,10.9,689.0,147800.0,12,3,0,0.51,61000.0,2,Salaried,Degree,Rent,0
CUST10218,24,55885.0,8.6,545.0,149000.0,6,0,0,0.47,85200.0,1,Business,Degree,Rent,0
CUST10219,22,,5.1,,97100.0,36,1,2,0.16,435000.0,3,Salaried,Diploma,Rent,1
CUST10220,28,61949.0,6.7,702.0,189900.0,12,1,0,0.23,177300.0,1,Salaried,Degree,Own,0
CUST10221,27,71485.0,8.5,645.0,117300.0,12,1,1,0.38,83700.0,2,Salaried,Secondary,Own,0
CUST10222,56,86915.0,4.8,550.0,280800.0,18,1,3,0.25,43300.0,3,Salaried,Degree,Own,1
CUST10223,54,82446.0,9.7,685.0,128800.0,24,0,0,0.35,309900.0,0,Salaried,Postgraduate,Own,0
CUST10224,60,37715.0,14.5,634.0,110700.0,36,0,0,0.54,61100.0,4,Self-employed,Postgraduate,Rent,1
CUST10225,39,65638.0,8.0,730.0,120200.0,12,2,1,0.55,99400.0,4,Salaried,Degree,Rent,0
CUST10226,49,83793.0,10.0,686.0,84500.0,24,0,0,0.23,182400.0,1,Salaried,Secondary,Rent,1
CUST10227,59,53915.0,0.0,566.0,316100.0,6,0,2,0.17,32900.0,2,Self-employed,Secondary,Rent,1
CUST10228,26,66127.0,12.1,552.0,255100.0,6,1,1,0.27,220600.0,5,Business,Diploma,Rent,1
CUST10229,30,53201.0,8.6,648.0,182500.0,24,0,1,0.33,114300.0,3,Salaried,Diploma,Own,0
CUST10230,61,102093.0,3.8,808.0,280600.0,36,0,0,0.42,57400.0,1,Salaried,Degree,Own,0
CUST10231,62,69925.0,0.0,716.0,83800.0,6,1,1,0.3,32500.0,1,Self-employed,Secondary,Own,0
CUST10232,25,74202.0,9.4,710.0,181600.0,12,3,0,0.44,138700.0,2,Self-employed,Secondary,Own,1
CUST10233,44,57393.0,9.7,634.0,94400.0,12,1,0,0.41,65500.0,1,Salaried,Secondary,Rent,1
CUST10234,61,101601.0,6.3,537.0,92300.0,6,2,0,0.49,136400.0,0,Business,Diploma,Own,1
CUST10235,42,38531.0,0.1,633.0,107600.0,24,3,1,0.3,29100.0,1,Self-employed,Degree,Rent,1
CUST10236,46,101134.0,5.4,594.0,163300.0,36,2,0,0.43,31300.0,5,Business,Degree,Rent,1
CUST10237,57,50173.0,3.1,782.0,165200.0,12,2,1,0.24,62600.0,1,Salaried,Degree,Rent,1
CUST10238,65,59862.0,8.2,667.0,128600.0,24,0,1,0.38,49800.0,5,Salaried,Degree,Rent,0
